username,tweet,retweets,likes
ladygaga,.@Spotify celebrates #AStarIsBorn  http://smarturl.it/ASIBSoundtrack/spotify … pic.twitter.com/wNhhMz89Ru,4750,21821
littlemix,Watched @starisbornmovie ✨ Sobbed. It’s so beautiful. @ladygaga and Bradley Cooper were phenomenal. I can’t wait to watch it again ♥️ jade x,3992,19173
jlo,Women supporting women!! Love this moment of me giving beautiful @ladygaga her award as she is honored at #ELLEWIH!! Such an inspiring night! So proud to be a part of this community of powerful artists and trailblazers!!! #strongertogether #astarisborn #secondact #limitless pic.twitter.com/XhjJktWsak,3558,18470
popconnects,"#AlbumBattle:   Both were released on the same day, and both are in the running for the #1 spot on the Billboard 200 - which one is your favorite?   • Retweet: #Trench • Like: #AStarIsBorn (Soundtrack)  pic.twitter.com/DHMBbDkX36",2490,530
tyleroakley,@ladygaga @starisbornmovie NEW VIDEO: "Surprising @StarIsBornMovie Fans with @LadyGaga":  https://youtu.be/w3pbM1VxPRs  #AStarIsBorn #WBPromotion (RT for a DM full of love!!) 🌟 pic.twitter.com/eUQr8P1U8W,1991,4591
jamesarthur23,Watched #AStarIsBorn last week and was quite moved by this song so thought I’d have a crack at it.  Look out for the full version 💫  pic.twitter.com/YnjU1h6MEQ,1176,4620
gagadaily,#AStarIsBorn is so good even the dog got an award  https://twitter.com/billboard/status/1048342097328328704 …,1161,4349
starisbornmovie,"Watch the official music video for “Look What I Found”  http://www.youtube.com/watch?v=8uGVZoqJjn4 … | Get tickets for #AStarIsBorn, now playing in theaters:  http://bit.ly/AStarIsBornTickets … pic.twitter.com/oK6y9EQGzC",1071,3253
colbertlateshow,On #LSSC tonight: Sam Elliott does his best @ladygaga impression. This one is for the #littlemonsters! #AStarIsBorn  pic.twitter.com/hS0aZDW4pp,1064,5032
miafarrow,@ladygaga Just saw #AStarIsBorn and ⁦@ladyGaga⁩ you are mesmerizing - powerful and truthful every second.  Brava🎉💯 pic.twitter.com/Ui3TQsBTjm,964,5346
richysquirrel,WDYDT Official Choreography from #AStarIsBorn SNL Ally Performance! @ladygaga @starisbornmovie  pic.twitter.com/h9aesTqBnB,871,2486
mikefoucault,Lady Gaga on the Stephen Colbert late show tonight talking about sexual assault -  #Ladygaga #StephenColbert #Lateshow #Gaga #ASIB #AStarIsBorn #AStarIsBornMovie #Colbert #AStarIsBornSoundtrack #ENIGMA pic.twitter.com/NyAEmHD1gf,836,1938
joshgad,#AStarIsBornMovie is the kind of movie that reminds you what the power of film is. #BradleyCooper is not only one of the finest stars around but now a bonafide director.  And there simply aren’t words to describe @ladygaga who has taken my breath away in every manner.,766,4826
iamkarendavila,#AStarIsBorn ⭐️ @MsLeaSalonga sings @ladygaga’s #IllNeverLoveAgain 👏🏼👏🏼👏🏼 FLAWLESS! #LS40 pic.twitter.com/rvmRxzEz8s,613,2853
